2025-03-01 01:29:35,300 INFO    Thread-278 (_run_job):16900 [wandb_setup.py:_flush():67] Current SDK version is 0.19.7
2025-03-01 01:29:35,301 INFO    Thread-278 (_run_job):16900 [wandb_setup.py:_flush():67] Configure stats pid to 16900
2025-03-01 01:29:35,301 INFO    Thread-278 (_run_job):16900 [wandb_setup.py:_flush():67] Loading settings from C:\Users\DELL\.config\wandb\settings
2025-03-01 01:29:35,301 INFO    Thread-278 (_run_job):16900 [wandb_setup.py:_flush():67] Loading settings from c:\Users\DELL\Desktop\Coding\Python\DL\wandb\settings
2025-03-01 01:29:35,301 INFO    Thread-278 (_run_job):16900 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-01 01:29:35,301 INFO    Thread-278 (_run_job):16900 [wandb_init.py:setup_run_log_directory():647] Logging user logs to c:\Users\DELL\Desktop\Coding\Python\DL\wandb\run-20250301_012935-bb05dxkd\logs\debug.log
2025-03-01 01:29:35,301 INFO    Thread-278 (_run_job):16900 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to c:\Users\DELL\Desktop\Coding\Python\DL\wandb\run-20250301_012935-bb05dxkd\logs\debug-internal.log
2025-03-01 01:29:35,301 INFO    Thread-278 (_run_job):16900 [wandb_init.py:monkeypatch_ipython():599] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001E03E861D50>
2025-03-01 01:29:35,301 INFO    Thread-278 (_run_job):16900 [wandb_init.py:init():761] calling init triggers
2025-03-01 01:29:35,302 INFO    Thread-278 (_run_job):16900 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation': 'tanh', 'batch_size': 64, 'epochs': 10, 'hidden_layers': 4, 'hidden_size': 32, 'learning_rate': 0.001, 'optimizer': 'nadam', 'weight_decay': 0, 'weight_init': 'xavier'}
config: {'_wandb': {}}
2025-03-01 01:29:35,302 INFO    Thread-278 (_run_job):16900 [wandb_init.py:init():784] starting backend
2025-03-01 01:29:35,302 INFO    Thread-278 (_run_job):16900 [wandb_init.py:init():788] sending inform_init request
2025-03-01 01:29:35,304 INFO    Thread-278 (_run_job):16900 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2025-03-01 01:29:35,305 INFO    Thread-278 (_run_job):16900 [wandb_init.py:init():803] backend started and connected
2025-03-01 01:29:35,305 INFO    Thread-278 (_run_job):16900 [wandb_run.py:_config_callback():1261] config_cb None None {'activation': 'tanh', 'batch_size': 64, 'epochs': 10, 'hidden_layers': 4, 'hidden_size': 32, 'learning_rate': 0.001, 'optimizer': 'nadam', 'weight_decay': 0, 'weight_init': 'xavier'}
2025-03-01 01:29:35,306 INFO    Thread-278 (_run_job):16900 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2025-03-01 01:29:35,309 INFO    Thread-278 (_run_job):16900 [wandb_init.py:init():896] updated telemetry
2025-03-01 01:29:35,344 INFO    Thread-278 (_run_job):16900 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2025-03-01 01:29:35,784 INFO    Thread-278 (_run_job):16900 [wandb_init.py:init():995] starting run threads in backend
2025-03-01 01:29:36,106 INFO    Thread-278 (_run_job):16900 [wandb_run.py:_console_start():2377] atexit reg
2025-03-01 01:29:36,106 INFO    Thread-278 (_run_job):16900 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-01 01:29:36,106 INFO    Thread-278 (_run_job):16900 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-01 01:29:36,106 INFO    Thread-278 (_run_job):16900 [wandb_run.py:_redirect():2317] Redirects installed.
2025-03-01 01:29:36,107 INFO    Thread-278 (_run_job):16900 [wandb_init.py:init():1037] run started, returning control to user process
2025-03-01 01:29:46,502 INFO    Thread-278 (_run_job):16900 [wandb_run.py:_finish():2112] finishing run bullseye2608-indian-institute-of-technology-madras/fashion_mnist_hp_search/bb05dxkd
2025-03-01 01:29:46,502 INFO    Thread-278 (_run_job):16900 [jupyter.py:save_history():458] not saving jupyter history
2025-03-01 01:29:46,502 INFO    Thread-278 (_run_job):16900 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-01 01:29:46,502 INFO    Thread-278 (_run_job):16900 [wandb_init.py:_jupyter_teardown():581] cleaning up jupyter logic
2025-03-01 01:29:46,502 INFO    Thread-278 (_run_job):16900 [wandb_run.py:_atexit_cleanup():2342] got exitcode: 0
2025-03-01 01:29:46,502 INFO    Thread-278 (_run_job):16900 [wandb_run.py:_restore():2324] restore
2025-03-01 01:29:46,502 INFO    Thread-278 (_run_job):16900 [wandb_run.py:_restore():2330] restore done
2025-03-01 01:29:49,680 INFO    MsgRouterThr:16900 [mailbox.py:close():115] Closing mailbox, abandoning 1 handles.
2025-03-01 01:29:49,680 INFO    Thread-278 (_run_job):16900 [wandb_run.py:_footer_history_summary_info():3958] rendering history
2025-03-01 01:29:49,680 INFO    Thread-278 (_run_job):16900 [wandb_run.py:_footer_history_summary_info():3990] rendering summary
2025-03-01 01:29:49,682 INFO    Thread-278 (_run_job):16900 [wandb_run.py:_footer_sync_info():3919] logging synced files
